"country_name","region","income_group","year","coverage","cancer_prevented","deaths_prevented","assumption_type","possible_cancer_cases","possible_cancer_deaths"
"Afghanistan","South Asia","Low income",2010,0,0,0,"Historical Results",3102.63,2399.46
"Angola","Sub-Saharan Africa","Lower middle income",2010,0,0,0,"Historical Results",8691.02,6318.21
"Albania","Europe & Central Asia","Upper middle income",2010,0,0,0,"Historical Results",158.47,95.9
"United Arab Emirates","Middle East & North Africa","High income",2010,0,0,0,"Historical Results",246.54,185.48
"Argentina","Latin America & Caribbean","Upper middle income",2010,0,0,0,"Historical Results",4689.91,3053
"Armenia","Europe & Central Asia","Upper middle income",2010,0,0,0,"Historical Results",138.29,101.57
"Australia","East Asia & Pacific","High income",2010,0.67,442.84,236.97,"Historical Results",674.44,360.9
"Austria","Europe & Central Asia","High income",2010,0,0,0,"Historical Results",232.64,120.88
"Azerbaijan","Europe & Central Asia","Upper middle income",2010,0,0,0,"Historical Results",416.34,280.57
"Burundi","Sub-Saharan Africa","Low income",2010,0,0,0,"Historical Results",3961.54,3298.99
"Belgium","Europe & Central Asia","High income",2010,0,0,0,"Historical Results",420.51,190.02
"Benin","Sub-Saharan Africa","Lower middle income",2010,0,0,0,"Historical Results",1275.32,938.7
"Burkina Faso","Sub-Saharan Africa","Low income",2010,0,0,0,"Historical Results",2510.93,2079.17
"Bangladesh","South Asia","Lower middle income",2010,0,0,0,"Historical Results",13234.55,9233.15
"Bulgaria","Europe & Central Asia","Upper middle income",2010,0,0,0,"Historical Results",430.15,233.34
"Bahrain","Middle East & North Africa","High income",2010,0,0,0,"Historical Results",36.47,24.13
"Bahamas, The","Latin America & Caribbean","High income",2010,0,0,0,"Historical Results",50.99,37.53
"Bosnia and Herzegovina","Europe & Central Asia","Upper middle income",2010,0,0,0,"Historical Results",235.56,129.71
"Belarus","Europe & Central Asia","Upper middle income",2010,0,0,0,"Historical Results",403.8,185.03
"Belize","Latin America & Caribbean","Upper middle income",2010,0,0,0,"Historical Results",76.45,74.5
"Bolivia","Latin America & Caribbean","Lower middle income",2010,0,0,0,"Historical Results",2876.63,2167.98
"Brazil","Latin America & Caribbean","Upper middle income",2010,0,0,0,"Historical Results",22363.95,13467.56
"Barbados","Latin America & Caribbean","High income",2010,0,0,0,"Historical Results",33.63,22.86
"Brunei Darussalam","East Asia & Pacific","High income",2010,0,0,0,"Historical Results",48.65,15.91
"Bhutan","South Asia","Lower middle income",2010,0.88,71.89,47.97,"Historical Results",83.36,55.63
"Botswana","Sub-Saharan Africa","Upper middle income",2010,0,0,0,"Historical Results",656.3,455.39
"Central African Republic","Sub-Saharan Africa","Low income",2010,0,0,0,"Historical Results",771.47,632.3
"Canada","North America","High income",2010,0,0,0,"Historical Results",962.09,548.23
"Switzerland","Europe & Central Asia","High income",2010,0.2,30.53,16.53,"Historical Results",155.77,84.32
"Chile","Latin America & Caribbean","High income",2010,0,0,0,"Historical Results",1608.65,1101.3
"China","East Asia & Pacific","Upper middle income",2010,0,0,0,"Historical Results",71418.85,45131.55
"Côte d’Ivoire","Sub-Saharan Africa","Lower middle income",2010,0,0,0,"Historical Results",5881.67,4556.68
"Cameroon","Sub-Saharan Africa","Lower middle income",2010,0,0,0,"Historical Results",5458.54,4035
"Congo, Dem. Rep.","Sub-Saharan Africa","Low income",2010,0,0,0,"Historical Results",19639.16,15697.61
"Congo, Rep.","Sub-Saharan Africa","Lower middle income",2010,0,0,0,"Historical Results",931.54,645.4
"Colombia","Latin America & Caribbean","Upper middle income",2010,0,0,0,"Historical Results",6698.01,4578.36
